TEST NAME,POINTS,OUT OF,NOTES
thread_counter_suite/many_threads_one_counter_premature,0,1,["tests/thread_counter_test.c:264: Premature return from tcnt_wait_for_zero"]
thread_counter_suite/many_threads_one_counter,0,1,["The test crashed."]
thread_counter_suite/basic_two_counters,0,1,["The test crashed."]
thread_counter_suite/basic_one_counter_premature,0,1,["The test crashed."]
thread_counter_suite/basic_one_counter,0,1,["The test crashed."]
server_suite/05_send_bogus,0,1,["tests/server_test.c:150: Server was not implemented"]
server_suite/04_send_other,0,1,["tests/server_test.c:118: Server was not implemented"]
server_suite/03_send_self,0,1,["tests/server_test.c:105: Server was not implemented"]
server_suite/02_users,0,1,["tests/server_test.c:94: Server was not implemented"]
server_suite/01_connect,0,1,["tests/server_test.c:85: Server was not implemented"]
server_suite/00_start_server,0,1,["tests/server_test.c:47: Server was not implemented"]
protocol_suite/send_with_payload,1,1,
protocol_suite/recv_empty,0,1,["tests/protocol_test.c:140: Returned value was not -1"]
protocol_suite/send_no_payload,1,1,
protocol_suite/send_error,1,1,
protocol_suite/recv_with_payload,1,1,
protocol_suite/recv_short,0,1,["tests/protocol_test.c:155: Returned value was not -1"]
protocol_suite/recv_no_payload,1,1,
protocol_suite/recv_error,1,1,
mailbox_suite/remove_empty,1,1,
mailbox_suite/many_threads,0,1,["The test crashed."]
mailbox_suite/discard_self,0,1,["tests/mailbox_test.c:80: Discard hook was not called the expected number of times: exp=3, was=0"]
mailbox_suite/discard_empty,1,1,
mailbox_suite/discard,0,1,["tests/mailbox_test.c:56: Discard hook was not called the expected number of times: exp=3, was=0"]
mailbox_suite/basic,1,1,
mailbox_suite/add_remove,1,1,
directory_suite/unregister_empty,0,1,["The test crashed."]
directory_suite/shutdown_empty,1,1,
directory_suite/register_defunct,0,1,["tests/directory_test.c:108: mb is not null."]
directory_suite/many_threads,0,1,["The test crashed."]
directory_suite/handles_empty,0,1,["The test crashed."]
directory_suite/basic,1,1,
total,12,32
